reflectance_date;km;#NOMBRE?;aerosol;blue;green;red;rojo 1;rojo 2;rojo 3;NIR;rojo 4;SWIR1;SWIR2;scc_date;SSC;RANS;VNES;NIR/RED;NDTI;modelo_rans
24/02/2026;14;800;0.07106;0.089668006;0.10671199;0.120008;0.1245;0.093308;0.0953;0.082684;0.080224;0.039276;0.038207997;25/02/2026;429.4401895;0.425326725;0.686576194;0.688987401;0.058645071;4.878588315
24/02/2026;1;0;0.054804;0.074232005;0.093144;0.106176;0.11462;0.093779996;0.097600006;0.084544;0.081240006;0.031444002;0.029508;25/02/2026;276.5305476;0.455126851;0.728651598;0.796262809;0.0653823;5.444497177
24/02/2026;17;600;0.0725;0.09592001;0.11101999;0.124092;0.12935199;0.09684799;0.099648;0.087919995;0.08608;0.043387994;0.041244;25/02/2026;553.4994273;0.421006227;0.67786902;0.708506552;0.055599079;4.796541395
24/02/2026;18;200;0.058792;0.077388;0.094336;0.1084;0.115375996;0.093932;0.096687995;0.08358801;0.083024;0.038756;0.038312003;25/02/2026;357.1569655;0.435564237;0.697318383;0.771107103;0.069371005;5.073000193
24/02/2026;3;500;0.061;0.080047995;0.09916399;0.111163996;0.119212;0.09572001;0.09908;0.085208;0.082651995;0.034780003;0.032812;25/02/2026;327.4587182;0.443101619;0.71209634;0.76650717;0.057053777;5.21613621
24/02/2026;1;900;0.0583;0.078216;0.097412;0.109415986;0.11858399;0.097427994;0.102336004;0.08853201;0.08685599;0.034151997;0.032348;25/02/2026;305.7488286;0.449804123;0.719266652;0.809132315;0.0580385;5.343417763
26/06/2025;calamar;calamar;0.041300002;0.052932;0.079252;0.09295999;0.097112;0.060052;0.064144;0.048599996;0.044324003;0.010140001;0.00976;26/06/2025;680.5986933;0.498654353;0.812793711;0.07959951;0.522805521;6.271090971
16/07/2025;calamar;calamar;0.045252;0.060900003;0.09894;0.121456;0.12716399;0.079756;0.084476;0.066420004;0.059268;0.013088;0.012015999;16/07/2025;673.325482;0.520714849;0.845019014;0.102161564;0.546864741;6.690023088
26/11/2025;calamar;calamar;0.03886;0.060135998;0.082720004;0.095952;0.10371599;0.07306;0.079831995;0.06488401;0.057432;0.009356;0.006616;26/11/2025;665.6840676;0.513774259;0.827593944;0.074057467;0.676213211;6.558220236
11/12/2025;calamar;calamar;0.04164;0.047640003;0.06526401;0.07774;0.08310799;0.066904;0.06876;0.05832;0.057375997;0.008836;0.006768;11/12/2025;666.2151762;0.527773441;0.828399425;0.087242239;0.750192951;6.824066814
16/12/2025;calamar;calamar;0.054428;0.065396;0.07944;0.08601201;0.091636;0.071784;0.07542;0.061132003;0.056884;0.0118;0.00898;16/12/2025;657.1621764;0.484376874;0.76346081;0.039721548;0.710737989;5.999959489
21/12/2025;calamar;calamar;0.035024;0.044864003;0.073263995;0.088112004;0.08953601;0.055764005;0.058368;0.046568003;0.039100002;0.010359999;0.008439999;21/12/2025;643.5133535;0.511764367;0.825513293;0.092008781;0.52850918;6.520052095
26/12/2025;calamar;calamar;0.033748;0.047948;0.063159995;0.074659996;0.080299996;0.059483994;0.063076;0.053239997;0.048516;0.005872;0.005396;26/12/2025;626.7519468;0.522296632;0.831881599;0.083442184;0.713099382;6.720061388
20/01/2026;calamar;calamar;0.051356003;0.055763997;0.07462;0.08545999;0.091736004;0.078168;0.080144;0.069575995;0.0679;0.016344;0.012151999;20/01/2026;568.970057;0.513765705;0.786108398;0.067716084;0.814135305;6.558057806
4/02/2026;calamar;calamar;0.030672003;0.047083996;0.065104;0.0805;0.085148;0.06299999;0.067548;0.056708;0.052276;0.006148;0.006403999;4/02/2026;553.3231277;0.536925156;0.848855513;0.105738853;0.704447205;6.997859257
19/02/2026;calamar;calamar;0.03446;0.041000005;0.056024004;0.065192;0.066668004;0.048644;0.047276;0.039544;0.038456;0.006676001;0.006236001;19/02/2026;598.392393;0.502485152;0.798445983;0.075633544;0.606577494;6.343838417
1/03/2026;calamar;calamar;0.048536;0.0546;0.071027994;0.080188;0.082592;0.06882;0.068895996;0.060767997;0.060303997;0.022896001;0.016748;1/03/2026;608.3176468;0.486928288;0.730005104;0.060575643;0.757819088;6.048411234
11/03/2026;calamar;calamar;0.056652;0.065836;0.08084;0.086876005;0.09007999;0.076952;0.073952;0.068284005;0.067456;0.030823998;0.024672;11/03/2026;600.2687805;0.466422192;0.686308516;0.035989439;0.785993843;5.658997382
